t,bbox,ratio,conf,landmark
11.24,True,0.0339,0.825,False
11.27,True,0.038,0.833,False
11.3,True,0.0408,0.817,False
11.34,True,0.0373,0.862,True
11.37,True,0.0394,0.855,False
11.4,True,0.0366,0.853,False
11.44,True,0.0394,0.883,True
11.47,True,0.038,0.91,True
11.5,True,0.0373,0.912,True
11.54,True,0.0359,0.861,True
11.57,True,0.0352,0.885,True
11.6,True,0.0352,0.869,True
11.64,True,0.0366,0.915,True
11.67,True,0.038,0.923,True
11.7,True,0.0359,0.926,True
11.74,True,0.0366,0.913,True
11.77,True,0.038,0.901,True
11.8,True,0.0366,0.903,True
11.84,True,0.0373,0.87,True
11.87,True,0.0326,0.89,True
11.9,True,0.0345,0.848,True
11.94,True,0.0345,0.873,True
11.97,True,0.0352,0.856,True
12.0,True,0.0319,0.836,True
12.04,True,0.0294,0.775,True
12.07,True,0.0288,0.826,True
12.1,True,0.0282,0.871,True
12.14,True,0.0326,0.808,True
12.17,True,0.0332,0.752,True
12.2,True,0.0332,0.759,True
12.24,True,0.0319,0.742,True
12.27,True,0.03,0.818,True
12.3,True,0.0288,0.782,True
12.34,True,0.0294,0.749,True
12.37,True,0.0276,0.793,True
12.4,True,0.0294,0.811,False
12.44,True,0.0345,0.847,False
12.47,True,0.0352,0.876,False
12.5,True,0.0387,0.838,False
12.54,True,0.038,0.91,False
12.57,True,0.0373,0.92,True
12.6,True,0.0423,0.885,True
12.64,True,0.0453,0.909,True
12.67,True,0.0461,0.886,True
12.7,True,0.0517,0.88,True
12.74,True,0.0611,0.825,True
12.77,True,0.0886,0.815,True
12.8,True,0.0813,0.832,True
12.84,True,0.1066,0.801,True
12.87,True,0.1188,0.816,True
12.9,True,0.1302,0.816,False
12.94,True,0.1436,0.76,False
12.97,True,0.1891,0.698,False
13.0,True,0.2989,0.508,False
13.04,True,0.248,0.51,False
13.07,False,0.0,0.0,False
13.1,True,0.2989,0.434,False
13.14,False,0.0,0.0,False
13.17,True,0.2969,0.395,False
13.2,False,0.0,0.0,False
13.24,True,0.1348,0.326,False
13.27,False,0.0,0.0,False
13.3,False,0.0,0.0,False
13.34,False,0.0,0.0,False
13.37,False,0.0,0.0,False
13.4,False,0.0,0.0,False
13.44,False,0.0,0.0,False
13.47,False,0.0,0.0,False
13.5,False,0.0,0.0,False
13.54,True,0.1547,0.316,False
13.57,False,0.0,0.0,False
13.6,False,0.0,0.0,False
13.64,False,0.0,0.0,False
13.67,False,0.0,0.0,False
13.7,False,0.0,0.0,False
13.74,False,0.0,0.0,False
13.77,False,0.0,0.0,False
13.8,False,0.0,0.0,False
13.84,False,0.0,0.0,False
13.87,False,0.0,0.0,False
13.9,False,0.0,0.0,False
13.94,False,0.0,0.0,False
13.97,False,0.0,0.0,False
14.0,False,0.0,0.0,False
14.04,False,0.0,0.0,False
14.07,False,0.0,0.0,False
14.1,False,0.0,0.0,False
14.14,False,0.0,0.0,False
14.17,True,0.2757,0.351,False
14.2,True,0.2691,0.323,False
14.24,True,0.0656,0.339,False
14.27,False,0.0,0.0,False
14.3,True,0.2356,0.304,False
