t,bbox,ratio,conf,landmark
16.46,True,0.0438,0.325,False
16.49,True,0.0453,0.323,False
16.52,False,0.0,0.0,False
16.56,False,0.0,0.0,False
16.59,False,0.0,0.0,False
16.62,False,0.0,0.0,False
16.66,False,0.0,0.0,False
16.69,False,0.0,0.0,False
16.72,False,0.0,0.0,False
16.76,False,0.0,0.0,False
16.79,False,0.0,0.0,False
16.82,False,0.0,0.0,False
16.86,True,0.0542,0.304,False
16.89,False,0.0,0.0,False
16.92,False,0.0,0.0,False
16.96,False,0.0,0.0,False
16.99,False,0.0,0.0,False
17.02,True,0.0593,0.308,False
17.06,True,0.0611,0.309,False
17.09,True,0.0509,0.352,False
17.12,True,0.0525,0.362,False
17.16,False,0.0,0.0,False
17.19,True,0.0517,0.366,False
17.22,True,0.0485,0.341,False
17.26,False,0.0,0.0,False
17.29,False,0.0,0.0,False
17.32,False,0.0,0.0,False
17.36,False,0.0,0.0,False
17.39,False,0.0,0.0,False
17.42,False,0.0,0.0,False
17.46,False,0.0,0.0,False
17.49,True,0.0423,0.392,False
17.52,True,0.0352,0.342,False
17.56,True,0.0431,0.41,False
17.59,True,0.0446,0.501,False
17.62,True,0.0477,0.353,False
17.66,True,0.0387,0.601,False
17.69,True,0.0416,0.662,False
17.72,True,0.0431,0.677,False
17.76,True,0.0469,0.682,False
17.79,True,0.0423,0.596,False
17.82,True,0.0423,0.677,False
17.86,True,0.0373,0.673,False
17.89,True,0.038,0.723,False
17.92,True,0.0366,0.811,False
17.96,True,0.0387,0.722,False
17.99,True,0.0394,0.656,False
18.02,True,0.0394,0.681,False
18.06,True,0.0394,0.705,False
18.09,True,0.0366,0.784,False
18.12,True,0.0339,0.725,False
18.16,True,0.0359,0.718,False
18.19,True,0.0326,0.681,False
18.22,True,0.0306,0.752,False
18.26,True,0.0326,0.796,False
18.29,True,0.0352,0.742,False
18.32,True,0.0332,0.681,False
18.36,True,0.0313,0.686,True
18.39,True,0.0276,0.72,True
18.42,True,0.0313,0.647,False
18.46,True,0.0313,0.658,False
18.49,True,0.0306,0.728,True
18.52,True,0.0345,0.685,False
18.56,True,0.0359,0.658,False
18.59,True,0.038,0.657,False
18.62,True,0.0359,0.687,False
18.66,True,0.0319,0.76,True
18.69,True,0.0319,0.758,True
18.72,True,0.0332,0.765,True
18.76,True,0.0319,0.759,True
18.79,True,0.0313,0.764,True
18.82,True,0.0313,0.753,True
18.86,True,0.0294,0.722,True
18.89,True,0.03,0.71,True
18.92,True,0.03,0.725,True
18.96,True,0.0345,0.723,True
18.99,True,0.0326,0.715,True
19.02,True,0.0306,0.706,True
19.06,True,0.0326,0.717,True
19.09,True,0.0332,0.716,False
19.12,True,0.0326,0.728,True
19.16,True,0.0319,0.722,True
19.19,True,0.0332,0.745,True
19.22,True,0.0313,0.759,False
19.26,True,0.0319,0.735,False
19.29,True,0.0306,0.737,False
19.32,True,0.0313,0.793,False
19.36,True,0.03,0.786,False
19.39,True,0.0319,0.765,False
19.42,True,0.0313,0.757,False
19.46,True,0.0359,0.743,False
19.49,True,0.0332,0.759,False
19.52,True,0.0345,0.764,False
19.56,True,0.0345,0.747,False
19.59,True,0.0352,0.739,False
19.62,True,0.0359,0.774,False
